000000001011_00000_000_00101_0010011    //PC= 0  addi $x5,$0,11
000000001010_00000_000_00110_0010011    //PC= 4  addi $x6,$0,10
000000000000_00100_010_11110_0000011    //PC= 8  lw $x30,0($x4)
000000001111_00000_000_00111_0010011    //PC=12  addi $x7,$0,15
000000000011_00000_000_01000_0010011    //PC=16  addi $x8,$0,3
0000000_00000_00101_110_01001_0110011   //PC=20  or $x9,$x5,$0
0000000_00110_00101_111_11100_0110011   //PC=24  and $x28,$x5,$x6
0100000_00110_00101_000_01000_0110011   //PC=28  sub $x8,$x5,$x6
0000001_00110_00110_000_11101_0110011   //PC=32  mul $x29,$x6,$x6
0000001_00111_01001_000_11110_0110011   //PC=36  mul $x30,$x9,$x7
0000000_00101_01001_010_00101_0100011   //PC=40  sw $x9,5($x5)
